Last name,First name,Full name,Countries,born,died
Tseitlin,Mikhail,Mikhail Tseitlin,"Belarus,Russia",1947,
Gupta,Abhijeet,Abhijeet Gupta,India,1989,
Eljanov,Pavel,Pavel Eljanov,Ukraine,1983,
Kolev,Atanas,Atanas Kolev,Bulgaria,1967,
Havasi,Kornél,Kornél Havasi,Hungary,1892,1945
Blum,Oscar,Oscar Blum,"Lithuania,France",<1910,?
Dokhoian,Yury,Yury Dokhoian,Russia,1964,
Wells,Peter,Peter Wells,England,1965,
Moiseenko,Alexander,Alexander Moiseenko,Ukraine,1980,
Ivanišević,Ivan,Ivan Ivanišević,Serbia,1977,
Griffith,Richard,Richard Griffith,England,1872,1955
Hromádka,Karel,Karel Hromádka,"Bohemia,Czechoslovakia",1887,1956
Tomović,Vasilije,Vasilije Tomović,Montenegro,1906,?
Dreibergs,Leonids,Leonids Dreibergs,"Latvia,US",1908,1969
Qin,Kanying,Qin Kanying,China,1974,
Friedemann,Gunnar,Gunnar Friedemann,Estonia,1909,1943
Chajes,Oscar,Oscar Chajes,"Ukraine,Austria,US",1873,1928
Uedemann,Louis,Louis Uedemann,US,1854,1912
Najdorf,Miguel,Miguel Najdorf,"Poland,Argentina",1910,1997
Akobian,Varuzhan,Varuzhan Akobian,"Armenia,US",1983,
Chekhov,Valery,Valery Chekhov,Russia,1955,
Schmitt,Ludwig,Ludwig Schmitt,Germany,<1910,
Laurine,Leho,Leho Laurine,"Estonia,Sweden",1904,1998
Sournin,Vladimir,Vladimir Sournin,"Russia,US",1875,1942
Jones,Gawain,Gawain Jones,England,1987,
Levin,Naum,Naum Levin,"Ukraine,Australia",1933,
King,Daniel,Daniel King,England,1963,
Blümich,Max,Max Blümich,Germany,1886,1942
Rubinstein,Emanuel,Emanuel Rubinstein,Poland,1897,?
Berczes,David,David Berczes,Hungary,1990,
Lasa,Baron Tassilo von Heydebrand und der,Baron Tassilo von Heydebrand und der Lasa,Prussia/Germany,1818,1899
Sloan,Sam,Sam Sloan,United States,1944,
